run_id,checkpoint,source,slice,n,accuracy,correct,tool_call_rate,unable_rate,follow_up_rate,direct_answer_rate,observed_behavior_counts,primary_error_counts,details_path
s5r002,final,mixed_clean,bfcl_relevance_direct_answer,60,0.03333333333333333,2,0.03333333333333333,0.7833333333333333,0.15,0.03333333333333333,"{""direct_answer"": 2, ""follow_up"": 9, ""tool_call"": 2, ""unable"": 47}","{""answer_completion_error"": 9, ""correct"": 2, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 47}",experiments/exp_10_stage5_mixed_source_dpo_extension/artifacts/runs/s5r002/stage1_primary_eval_details_dpo_final.jsonl
s5r002,final,mixed_clean,combined_existing_direct_answer,153,0.5947712418300654,91,0.013071895424836602,0.32679738562091504,0.06535947712418301,0.5947712418300654,"{""direct_answer"": 91, ""follow_up"": 10, ""tool_call"": 2, ""unable"": 50}","{""answer_completion_error"": 10, ""correct"": 91, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 50}",experiments/exp_10_stage5_mixed_source_dpo_extension/artifacts/runs/s5r002/stage1_primary_eval_details_dpo_final.jsonl
s6r002,best,stage6_noised_gold,sft_dev_direct_answer,93,0.978494623655914,91,0.0,0.010752688172043012,0.010752688172043012,0.978494623655914,"{""direct_answer"": 91, ""follow_up"": 1, ""unable"": 1}","{""answer_completion_error"": 1, ""correct"": 91, ""wrong_refusal"": 1}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r002/stage1_primary_eval_details_dpo_best.jsonl
s6r002,best,stage6_noised_gold,bfcl_relevance_direct_answer,60,0.05,3,0.1,0.7666666666666667,0.08333333333333333,0.05,"{""direct_answer"": 3, ""follow_up"": 5, ""tool_call"": 6, ""unable"": 46}","{""answer_completion_error"": 5, ""correct"": 3, ""irrelevant_tool_call"": 6, ""wrong_refusal"": 46}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r002/stage1_primary_eval_details_dpo_best.jsonl
s6r002,best,stage6_noised_gold,combined_existing_direct_answer,153,0.6143790849673203,94,0.0392156862745098,0.30718954248366015,0.0392156862745098,0.6143790849673203,"{""direct_answer"": 94, ""follow_up"": 6, ""tool_call"": 6, ""unable"": 47}","{""answer_completion_error"": 6, ""correct"": 94, ""irrelevant_tool_call"": 6, ""wrong_refusal"": 47}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r002/stage1_primary_eval_details_dpo_best.jsonl
s6r003,best,stage6_noised_gold,sft_dev_direct_answer,93,0.978494623655914,91,0.0,0.010752688172043012,0.010752688172043012,0.978494623655914,"{""direct_answer"": 91, ""follow_up"": 1, ""unable"": 1}","{""answer_completion_error"": 1, ""correct"": 91, ""wrong_refusal"": 1}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r003/stage1_primary_eval_details_dpo_best.jsonl
s6r003,best,stage6_noised_gold,bfcl_relevance_direct_answer,60,0.03333333333333333,2,0.1,0.75,0.11666666666666667,0.03333333333333333,"{""direct_answer"": 2, ""follow_up"": 7, ""tool_call"": 6, ""unable"": 45}","{""answer_completion_error"": 7, ""correct"": 2, ""irrelevant_tool_call"": 6, ""wrong_refusal"": 45}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r003/stage1_primary_eval_details_dpo_best.jsonl
s6r003,best,stage6_noised_gold,combined_existing_direct_answer,153,0.6078431372549019,93,0.0392156862745098,0.3006535947712418,0.05228758169934641,0.6078431372549019,"{""direct_answer"": 93, ""follow_up"": 8, ""tool_call"": 6, ""unable"": 46}","{""answer_completion_error"": 8, ""correct"": 93, ""irrelevant_tool_call"": 6, ""wrong_refusal"": 46}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r003/stage1_primary_eval_details_dpo_best.jsonl
s6r004,best,stage6_behavior,sft_dev_direct_answer,93,0.946236559139785,88,0.0,0.03225806451612903,0.021505376344086023,0.946236559139785,"{""direct_answer"": 88, ""follow_up"": 2, ""unable"": 3}","{""answer_completion_error"": 2, ""correct"": 88, ""wrong_refusal"": 3}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r004/stage1_primary_eval_details_dpo_best.jsonl
s6r004,best,stage6_behavior,bfcl_relevance_direct_answer,60,0.03333333333333333,2,0.03333333333333333,0.7833333333333333,0.15,0.03333333333333333,"{""direct_answer"": 2, ""follow_up"": 9, ""tool_call"": 2, ""unable"": 47}","{""answer_completion_error"": 9, ""correct"": 2, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 47}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r004/stage1_primary_eval_details_dpo_best.jsonl
s6r004,best,stage6_behavior,combined_existing_direct_answer,153,0.5882352941176471,90,0.013071895424836602,0.32679738562091504,0.0718954248366013,0.5882352941176471,"{""direct_answer"": 90, ""follow_up"": 11, ""tool_call"": 2, ""unable"": 50}","{""answer_completion_error"": 11, ""correct"": 90, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 50}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r004/stage1_primary_eval_details_dpo_best.jsonl
s6r005,best,stage6_behavior,sft_dev_direct_answer,93,0.946236559139785,88,0.0,0.03225806451612903,0.021505376344086023,0.946236559139785,"{""direct_answer"": 88, ""follow_up"": 2, ""unable"": 3}","{""answer_completion_error"": 2, ""correct"": 88, ""wrong_refusal"": 3}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r005/stage1_primary_eval_details_dpo_best.jsonl
s6r005,best,stage6_behavior,bfcl_relevance_direct_answer,60,0.03333333333333333,2,0.03333333333333333,0.7833333333333333,0.15,0.03333333333333333,"{""direct_answer"": 2, ""follow_up"": 9, ""tool_call"": 2, ""unable"": 47}","{""answer_completion_error"": 9, ""correct"": 2, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 47}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r005/stage1_primary_eval_details_dpo_best.jsonl
s6r005,best,stage6_behavior,combined_existing_direct_answer,153,0.5882352941176471,90,0.013071895424836602,0.32679738562091504,0.0718954248366013,0.5882352941176471,"{""direct_answer"": 90, ""follow_up"": 11, ""tool_call"": 2, ""unable"": 50}","{""answer_completion_error"": 11, ""correct"": 90, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 50}",experiments/exp_11_stage6_multiseed_robustness/artifacts/runs/s6r005/stage1_primary_eval_details_dpo_best.jsonl
